CRF++: Yet Another CRF Tool Kit
Copyright (C) 2005-2013 Taku Kudo, All rights reserved.

reading training data: 100.. 200.. 300.. 400.. 500.. 600.. 700.. 800.. 900.. 1000.. 1100.. 1200.. 1300.. 1400.. 1500.. 1600.. 1700.. 1800.. 1900.. 2000.. 2100.. 2200.. 2300.. 2400.. 2500.. 2600.. 2700.. 2800.. 2900.. 3000.. 3100.. 3200.. 3300.. 3400.. 3500.. 3600.. 3700.. 3800.. 3900.. 4000.. 4100.. 4200.. 4300.. 4400.. 4500.. 4600.. 4700.. 4800.. 4900.. 5000.. 5100.. 5200.. 5300.. 5400.. 5500.. 5600.. 5700.. 5800.. 5900.. 6000.. 6100.. 6200.. 6300.. 6400.. 6500.. 6600.. 6700.. 6800.. 6900.. 7000.. 7100.. 7200.. 7300.. 7400.. 7500.. 7600.. 7700.. 7800.. 7900.. 8000.. 8100.. 8200.. 8300.. 8400.. 8500.. 8600.. 8700.. 8800.. 8900.. 9000.. 9100.. 9200.. 9300.. 9400.. 9500.. 9600.. 9700.. 9800.. 9900.. 10000.. 10100.. 10200.. 10300.. 10400.. 10500.. 10600.. 10700.. 10800.. 10900.. 11000.. 11100.. 11200.. 11300.. 11400.. 11500.. 11600.. 11700.. 11800.. 11900.. 12000.. 12100.. 12200.. 12300.. 12400.. 12500.. 12600.. 12700.. 12800.. 12900.. 13000.. 13100.. 13200.. 13300.. 13400.. 13500.. 13600.. 13700.. 13800.. 13900.. 14000.. 14100.. 14200.. 14300.. 14400.. 14500.. 14600.. 14700.. 14800.. 14900.. 15000.. 15100.. 15200.. 15300.. 15400.. 15500.. 15600.. 15700.. 15800.. 15900.. 16000.. 16100.. 16200.. 16300.. 16400.. 16500.. 16600.. 16700.. 16800.. 16900.. 17000.. 17100.. 17200.. 17300.. 17400.. 17500.. 
Done!16.42 s

Number of sentences: 17535
Number of features:  9186816
Number of thread(s): 1
Freq:                1
eta:                 0.00010
C:                   1.00000
shrinking size:      20
iter=130 terr=0.00007 serr=0.00160 act=9186816 obj=2929.49324 diff=0.00220
iter=131 terr=0.00008 serr=0.00160 act=9186816 obj=2927.25887 diff=0.00076
iter=132 terr=0.00007 serr=0.00165 act=9186816 obj=2925.37569 diff=0.00064
iter=133 terr=0.00007 serr=0.00160 act=9186816 obj=2920.68807 diff=0.00160
iter=134 terr=0.00007 serr=0.00160 act=9186816 obj=2914.90934 diff=0.00198
iter=135 terr=0.00007 serr=0.00148 act=9186816 obj=2907.68785 diff=0.00248
iter=136 terr=0.00007 serr=0.00154 act=9186816 obj=2909.21870 diff=0.00053
iter=137 terr=0.00006 serr=0.00148 act=9186816 obj=2904.11823 diff=0.00175
iter=138 terr=0.00007 serr=0.00148 act=9186816 obj=2899.62922 diff=0.00155
iter=139 terr=0.00007 serr=0.00143 act=9186816 obj=2898.23222 diff=0.00048
iter=140 terr=0.00007 serr=0.00143 act=9186816 obj=2896.07309 diff=0.00074
iter=141 terr=0.00008 serr=0.00165 act=9186816 obj=2888.74161 diff=0.00253
iter=142 terr=0.00008 serr=0.00194 act=9186816 obj=2880.03125 diff=0.00302
iter=143 terr=0.00008 serr=0.00194 act=9186816 obj=2871.56913 diff=0.00294
iter=144 terr=0.00009 serr=0.00228 act=9186816 obj=2876.64377 diff=0.00177
iter=145 terr=0.00008 serr=0.00211 act=9186816 obj=2868.85241 diff=0.00271
iter=146 terr=0.00008 serr=0.00200 act=9186816 obj=2864.68472 diff=0.00145
iter=147 terr=0.00007 serr=0.00200 act=9186816 obj=2860.98053 diff=0.00129
iter=148 terr=0.00007 serr=0.00205 act=9186816 obj=2857.64903 diff=0.00116
iter=149 terr=0.00007 serr=0.00171 act=9186816 obj=2860.83170 diff=0.00111
iter=150 terr=0.00007 serr=0.00200 act=9186816 obj=2856.13423 diff=0.00164
iter=151 terr=0.00007 serr=0.00200 act=9186816 obj=2854.18183 diff=0.00068
iter=152 terr=0.00007 serr=0.00188 act=9186816 obj=2852.33680 diff=0.00065
iter=153 terr=0.00007 serr=0.00177 act=9186816 obj=2850.86405 diff=0.00052
iter=154 terr=0.00007 serr=0.00171 act=9186816 obj=2849.60592 diff=0.00044
iter=155 terr=0.00007 serr=0.00177 act=9186816 obj=2848.52657 diff=0.00038
iter=156 terr=0.00007 serr=0.00188 act=9186816 obj=2847.45439 diff=0.00038
iter=157 terr=0.00007 serr=0.00200 act=9186816 obj=2846.65300 diff=0.00028
iter=158 terr=0.00007 serr=0.00194 act=9186816 obj=2844.10061 diff=0.00090
iter=159 terr=0.00007 serr=0.00205 act=9186816 obj=2850.76882 diff=0.00234
