CRF++: Yet Another CRF Tool Kit
Copyright (C) 2005-2013 Taku Kudo, All rights reserved.

reading training data: 100.. 200.. 300.. 400.. 500.. 600.. 700.. 800.. 900.. 1000.. 1100.. 1200.. 1300.. 1400.. 1500.. 1600.. 1700.. 1800.. 1900.. 2000.. 2100.. 2200.. 2300.. 2400.. 2500.. 2600.. 2700.. 2800.. 2900.. 3000.. 3100.. 3200.. 3300.. 3400.. 3500.. 3600.. 3700.. 3800.. 3900.. 4000.. 4100.. 4200.. 4300.. 4400.. 4500.. 4600.. 4700.. 4800.. 4900.. 5000.. 5100.. 5200.. 5300.. 5400.. 5500.. 5600.. 5700.. 5800.. 5900.. 6000.. 6100.. 6200.. 6300.. 6400.. 6500.. 6600.. 6700.. 6800.. 6900.. 7000.. 7100.. 7200.. 7300.. 7400.. 7500.. 7600.. 7700.. 7800.. 7900.. 8000.. 8100.. 8200.. 8300.. 8400.. 8500.. 8600.. 8700.. 8800.. 8900.. 9000.. 9100.. 9200.. 9300.. 9400.. 9500.. 9600.. 9700.. 9800.. 9900.. 10000.. 10100.. 10200.. 10300.. 10400.. 10500.. 10600.. 10700.. 10800.. 10900.. 11000.. 11100.. 11200.. 11300.. 11400.. 11500.. 11600.. 11700.. 11800.. 11900.. 12000.. 12100.. 12200.. 12300.. 12400.. 12500.. 12600.. 12700.. 12800.. 12900.. 13000.. 13100.. 13200.. 13300.. 13400.. 13500.. 13600.. 13700.. 13800.. 13900.. 14000.. 14100.. 14200.. 14300.. 14400.. 14500.. 14600.. 14700.. 14800.. 14900.. 15000.. 15100.. 15200.. 15300.. 15400.. 15500.. 15600.. 15700.. 15800.. 15900.. 16000.. 16100.. 16200.. 16300.. 16400.. 16500.. 16600.. 16700.. 16800.. 16900.. 17000.. 17100.. 17200.. 17300.. 17400.. 17500.. 
Done!8.53 s

Number of sentences: 17535
Number of features:  8855328
Number of thread(s): 1
Freq:                1
eta:                 0.00010
C:                   1.00000
shrinking size:      20
iter=71 terr=0.01830 serr=0.35700 act=8855328 obj=52433.02606 diff=0.00794
iter=72 terr=0.01799 serr=0.35141 act=8855328 obj=51641.58181 diff=0.01509
iter=73 terr=0.01711 serr=0.33242 act=8855328 obj=49961.43744 diff=0.03253
iter=74 terr=0.02153 serr=0.47220 act=8855328 obj=75044.59667 diff=0.50205
iter=75 terr=0.01654 serr=0.32792 act=8855328 obj=49788.61559 diff=0.33655
iter=76 terr=0.01591 serr=0.31628 act=8855328 obj=48835.33947 diff=0.01915
iter=77 terr=0.01623 serr=0.31759 act=8855328 obj=48573.82100 diff=0.00536
iter=78 terr=0.01551 serr=0.30978 act=8855328 obj=48015.66488 diff=0.01149
iter=79 terr=0.01484 serr=0.30545 act=8855328 obj=47637.75446 diff=0.00787
iter=80 terr=0.01437 serr=0.29991 act=8855328 obj=47211.65016 diff=0.00894
iter=81 terr=0.01226 serr=0.28817 act=8855328 obj=46759.13085 diff=0.00958
iter=82 terr=0.01423 serr=0.29102 act=8855328 obj=46612.43151 diff=0.00314
iter=83 terr=0.01386 serr=0.28896 act=8855328 obj=46239.98757 diff=0.00799
iter=84 terr=0.01353 serr=0.28617 act=8855328 obj=46065.16460 diff=0.00378
iter=85 terr=0.01331 serr=0.28315 act=8855328 obj=45790.82861 diff=0.00596
iter=86 terr=0.01304 serr=0.28149 act=8855328 obj=45430.83344 diff=0.00786
iter=87 terr=0.01227 serr=0.27294 act=8855328 obj=47999.14484 diff=0.05653
iter=88 terr=0.01127 serr=0.27146 act=8855328 obj=45249.45639 diff=0.05729
iter=89 terr=0.01255 serr=0.27123 act=8855328 obj=44766.04560 diff=0.01068
iter=90 terr=0.01247 serr=0.26889 act=8855328 obj=44608.73824 diff=0.00351
iter=91 terr=0.01102 serr=0.26461 act=8855328 obj=44298.46321 diff=0.00696
iter=92 terr=0.01336 serr=0.26587 act=8855328 obj=45078.02100 diff=0.01760
iter=93 terr=0.01252 serr=0.26359 act=8855328 obj=44105.58898 diff=0.02157
iter=94 terr=0.01178 serr=0.25714 act=8855328 obj=43712.24672 diff=0.00892
iter=95 terr=0.00996 serr=0.24745 act=8855328 obj=43438.96290 diff=0.00625
iter=96 terr=0.00972 serr=0.24328 act=8855328 obj=43251.54255 diff=0.00431
iter=97 terr=0.00907 serr=0.23325 act=8855328 obj=42891.93734 diff=0.00831
iter=98 terr=0.00905 serr=0.23393 act=8855328 obj=42354.39575 diff=0.01253
iter=99 terr=0.00893 serr=0.23040 act=8855328 obj=41828.45626 diff=0.01242
iter=100 terr=0.00865 serr=0.22310 act=8855328 obj=41392.34663 diff=0.01043
iter=101 terr=0.00801 serr=0.21215 act=8855328 obj=41307.13282 diff=0.00206
